perf,Performance,e,d,nm,norm,bs,seed
"[0.689, 0.7205, 0.7205, 0.7441, 0.7402, 0.7362, 0.7362, 0.7402, 0.7323, 0.7323, 0.7283, 0.7323, 0.7323, 0.7283, 0.7283]",0.7296,PrivacyFree,,,,16,42
"[0.6299, 0.6378, 0.6614, 0.689, 0.7205, 0.7205, 0.7323, 0.7362, 0.7205, 0.7205, 0.7165, 0.7205, 0.7205, 0.7283, 0.7362]",0.7283,ThreeLevels-0-Ours,0.0001,13.32,1.0,17,42
"[0.5906, 0.6024, 0.5984, 0.6181, 0.6378, 0.6339, 0.6378, 0.6614, 0.6654, 0.6417, 0.6693, 0.6693, 0.6654, 0.6654, 0.689]",0.6733,ThreeLevels-0-StrongForAll,0.0001,13.32,1.0,16,42
"[0.6063, 0.6299, 0.6299, 0.6378, 0.6496, 0.6417, 0.6614, 0.6772, 0.6969, 0.7047, 0.7047, 0.7047, 0.7087, 0.7205, 0.7205]",0.7166,ThreeLevels-0-Dropout,0.0001,13.32,1.0,2,42
"[0.6181, 0.6299, 0.6457, 0.6732, 0.7047, 0.7047, 0.7126, 0.7205, 0.7244, 0.7165, 0.7244, 0.7244, 0.7165, 0.7165, 0.7323]",0.7218,BoundedPareto-0-Ours,0.0001,13.32,1.0,10,42
"[0.5906, 0.6024, 0.5984, 0.6181, 0.6378, 0.6339, 0.6378, 0.6614, 0.6654, 0.6417, 0.6693, 0.6693, 0.6654, 0.6654, 0.689]",0.6733,BoundedPareto-0-StrongForAll,0.0001,13.32,1.0,16,42
"[0.5906, 0.6024, 0.6024, 0.626, 0.6299, 0.6339, 0.6417, 0.6732, 0.6693, 0.6575, 0.6811, 0.6772, 0.6693, 0.689, 0.7008]",0.6864,BoundedPareto-0-Dropout,0.0001,13.32,1.0,2,42
"[0.622, 0.6457, 0.6614, 0.7205, 0.7165, 0.7244, 0.7323, 0.748, 0.7441, 0.7323, 0.7441, 0.7441, 0.7402, 0.7402, 0.7402]",0.7402,BoundedMixGauss-0-Ours,0.0001,13.32,1.0,13,42
"[0.5906, 0.6024, 0.5984, 0.6181, 0.6378, 0.6339, 0.6378, 0.6614, 0.6654, 0.6417, 0.6693, 0.6693, 0.6654, 0.6654, 0.689]",0.6733,BoundedMixGauss-0-StrongForAll,0.0001,13.32,1.0,16,42
"[0.5906, 0.6102, 0.626, 0.6378, 0.6457, 0.6535, 0.6693, 0.6929, 0.7008, 0.6929, 0.7126, 0.7244, 0.7165, 0.7165, 0.7087]",0.7139,BoundedMixGauss-0-Dropout,0.0001,13.32,1.0,3,42
"[0.7008, 0.7244, 0.7323, 0.7402, 0.748, 0.748, 0.748, 0.748, 0.7441, 0.7441, 0.7441, 0.7559, 0.748, 0.752, 0.752]",0.7507,PrivacyFree,,,,16,43
"[0.6378, 0.685, 0.6969, 0.7165, 0.7244, 0.7362, 0.7402, 0.7362, 0.7362, 0.7402, 0.7323, 0.7441, 0.7402, 0.7362, 0.7402]",0.7389,ThreeLevels-0-Ours,0.0001,13.32,1.0,15,43
"[0.6063, 0.6339, 0.6102, 0.6339, 0.6378, 0.6575, 0.6575, 0.6614, 0.6811, 0.689, 0.6969, 0.7047, 0.6969, 0.7165, 0.7283]",0.7139,ThreeLevels-0-StrongForAll,0.0001,440,1.0,58,43
"[0.6339, 0.6457, 0.6457, 0.6732, 0.689, 0.6929, 0.7165, 0.7283, 0.7323, 0.7323, 0.7244, 0.748, 0.7441, 0.748, 0.7559]",0.7493,ThreeLevels-0-Dropout,0.0001,13.32,1.0,4,43
"[0.6339, 0.6496, 0.6614, 0.6772, 0.6969, 0.7126, 0.7126, 0.7323, 0.7323, 0.7323, 0.7323, 0.7402, 0.7402, 0.7362, 0.7362]",0.7375,BoundedPareto-0-Ours,0.0001,13.32,1.0,8,43
"[0.6063, 0.6339, 0.6102, 0.6339, 0.6378, 0.6575, 0.6575, 0.6614, 0.6811, 0.689, 0.6969, 0.7047, 0.6969, 0.7165, 0.7283]",0.7139,BoundedPareto-0-StrongForAll,0.0001,440,1.0,58,43
"[0.622, 0.6378, 0.622, 0.6457, 0.6457, 0.6693, 0.6772, 0.6772, 0.6969, 0.689, 0.7008, 0.7126, 0.7205, 0.7244, 0.7323]",0.7257,BoundedPareto-0-Dropout,0.0001,13.32,1.0,2,43
"[0.6417, 0.6654, 0.6929, 0.7087, 0.7244, 0.7402, 0.7441, 0.7323, 0.7283, 0.7362, 0.752, 0.7559, 0.748, 0.748, 0.7598]",0.7519,BoundedMixGauss-0-Ours,0.0001,13.32,1.0,17,43
"[0.6063, 0.6339, 0.6102, 0.6339, 0.6378, 0.6575, 0.6575, 0.6614, 0.6811, 0.689, 0.6969, 0.7047, 0.6969, 0.7165, 0.7283]",0.7139,BoundedMixGauss-0-StrongForAll,0.0001,440,1.0,58,43
