perf,Performance,e,d,nm,norm,bs,seed
"[0.6159, 0.8754, 0.9067, 0.9145, 0.9258, 0.9247, 0.9333, 0.9362, 0.9322, 0.9392, 0.94, 0.9373, 0.9395, 0.944, 0.9428]",0.9421,PrivacyFree,,,,128,42
"[0.1695, 0.6455, 0.8116, 0.8151, 0.863, 0.8694, 0.8742, 0.8797, 0.8788, 0.862, 0.8826, 0.8813, 0.8846, 0.8849, 0.8944]",0.888,ThreeLevels-0-Ours,0.001,13.75,1.0,435,42
"[0.1466, 0.1975, 0.1986, 0.2372, 0.3476, 0.5122, 0.5092, 0.5447, 0.5947, 0.61, 0.6292, 0.5932, 0.6499, 0.6647, 0.6641]",0.6596,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1642, 0.3243, 0.478, 0.4693, 0.6238, 0.6987, 0.7472, 0.764, 0.801, 0.7929, 0.8044, 0.7945, 0.8205, 0.8216, 0.8259]",0.8227,ThreeLevels-0-Dropout,0.001,13.75,1.0,175,42
"[0.1175, 0.5719, 0.7051, 0.7403, 0.812, 0.8328, 0.8493, 0.8521, 0.8556, 0.8436, 0.8622, 0.8567, 0.8662, 0.8578, 0.8706]",0.8649,BoundedPareto-0-Ours,0.001,13.75,1.0,293,42
"[0.1466, 0.1975, 0.1986, 0.2372, 0.3476, 0.5122, 0.5092, 0.5447, 0.5947, 0.61, 0.6292, 0.5932, 0.6499, 0.6647, 0.6641]",0.6596,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1659, 0.2408, 0.3212, 0.3459, 0.4825, 0.5697, 0.6102, 0.6599, 0.7025, 0.7094, 0.7294, 0.707, 0.7494, 0.7513, 0.7526]",0.7511,BoundedPareto-0-Dropout,0.001,13.75,1.0,121,42
"[0.2623, 0.6362, 0.8187, 0.8085, 0.8582, 0.87, 0.8753, 0.8835, 0.8841, 0.8644, 0.8832, 0.8788, 0.8892, 0.8869, 0.8956]",0.8906,BoundedMixGauss-0-Ours,0.001,13.75,1.0,413,42
"[0.1466, 0.1975, 0.1986, 0.2372, 0.3476, 0.5122, 0.5092, 0.5447, 0.5947, 0.61, 0.6292, 0.5932, 0.6499, 0.6647, 0.6641]",0.6596,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.2078, 0.3454, 0.4382, 0.5186, 0.5959, 0.7059, 0.7424, 0.7576, 0.802, 0.7837, 0.8115, 0.7946, 0.823, 0.8184, 0.8253]",0.8222,BoundedMixGauss-0-Dropout,0.001,13.75,1.0,171,42
"[0.4547, 0.8698, 0.9076, 0.9251, 0.9277, 0.9303, 0.9385, 0.9291, 0.9403, 0.9412, 0.9417, 0.9354, 0.943, 0.9375, 0.9443]",0.9416,PrivacyFree,,,,128,43
"[0.2693, 0.6071, 0.7397, 0.8186, 0.8465, 0.8352, 0.8765, 0.8728, 0.8807, 0.882, 0.8858, 0.8792, 0.8891, 0.8892, 0.8929]",0.8904,ThreeLevels-0-Ours,0.001,9.74,1.0,435,43
"[0.0876, 0.1967, 0.3062, 0.302, 0.4541, 0.485, 0.5158, 0.5429, 0.5541, 0.6062, 0.6315, 0.6136, 0.6877, 0.6682, 0.7241]",0.6933,ThreeLevels-0-StrongForAll,0.001,13.75,1.0128,43
