perf,Performance,e,d,nm,norm,bs,seed
"[0.1051, 0.4212, 0.6216, 0.5891, 0.7146, 0.4543, 0.6755, 0.7496, 0.7705, 0.8547, 0.8607, 0.8508, 0.8139, 0.8977, 0.8638]",0.8585,PrivacyFree,,,,128,42
"[0.1051, 0.3898, 0.4566, 0.4972, 0.5715, 0.4037, 0.5691, 0.6222, 0.6878, 0.7462, 0.7191, 0.7185, 0.6585, 0.8107, 0.7444]",0.7379,ThreeLevels-0-Ours,0.001,9.74,1.0,421,42
"[0.1103, 0.121, 0.1222, 0.1607, 0.3089, 0.1945, 0.2756, 0.3733, 0.4321, 0.4764, 0.4189, 0.3351, 0.4099, 0.5293, 0.5253]",0.4882,ThreeLevels-0-StrongForAll,0.001,9.74,1.0,143,42
"[0.1054, 0.2156, 0.2337, 0.2578, 0.4478, 0.3461, 0.4446, 0.5651, 0.5725, 0.603, 0.5723, 0.5788, 0.5373, 0.7094, 0.6678]",0.6382,ThreeLevels-0-Dropout,0.001,9.74,1.0,172,42
"[0.1051, 0.2778, 0.3819, 0.4302, 0.529, 0.3717, 0.5085, 0.5986, 0.6552, 0.7048, 0.6707, 0.6518, 0.6116, 0.7769, 0.7237]",0.7041,BoundedPareto-0-Ours,0.001,9.74,1.0,298,42
"[0.1103, 0.121, 0.1222, 0.1607, 0.3089, 0.1945, 0.2756, 0.3733, 0.4321, 0.4764, 0.4189, 0.3351, 0.4099, 0.5293, 0.5253]",0.4882,BoundedPareto-0-StrongForAll,0.001,9.74,1.0,143,42
"[0.1057, 0.1454, 0.1914, 0.1898, 0.3499, 0.264, 0.3674, 0.4329, 0.4508, 0.5227, 0.4948, 0.4371, 0.4748, 0.633, 0.6177]",0.5752,BoundedPareto-0-Dropout,0.001,9.74,1.0,119,42
"[0.1051, 0.3189, 0.5182, 0.5059, 0.5934, 0.4073, 0.5893, 0.6258, 0.7063, 0.7496, 0.716, 0.7122, 0.6571, 0.8121, 0.7402]",0.7365,BoundedMixGauss-0-Ours,0.001,9.74,1.0,449,42
"[0.1103, 0.121, 0.1222, 0.1607, 0.3089, 0.1945, 0.2756, 0.3733, 0.4321, 0.4764, 0.4189, 0.3351, 0.4099, 0.5293, 0.5253]",0.4882,BoundedMixGauss-0-StrongForAll,0.001,9.74,1.0,143,42
"[0.1052, 0.2032, 0.2373, 0.256, 0.4278, 0.3437, 0.4546, 0.5598, 0.5713, 0.6002, 0.562, 0.5815, 0.5405, 0.7008, 0.6536]",0.6316,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,169,42
"[0.1127, 0.4653, 0.5723, 0.6696, 0.4952, 0.6862, 0.7376, 0.7234, 0.8328, 0.8392, 0.8597, 0.8649, 0.8768, 0.6315, 0.787]",0.7651,PrivacyFree,,,,128,43
"[0.106, 0.1169, 0.4888, 0.5391, 0.3679, 0.4851, 0.6761, 0.6713, 0.7423, 0.7329, 0.708, 0.7377, 0.7416, 0.4847, 0.7001]",0.6421,ThreeLevels-0-Ours,0.001,9.74,1.0,421,43
"[0.0992, 0.1247, 0.1136, 0.1204, 0.135, 0.2061, 0.3453, 0.3011, 0.4396, 0.3225, 0.3543, 0.4027, 0.4583, 0.3679, 0.4936]",0.4399,ThreeLevels-0-StrongForAll,0.001,9.74,1.0,143,43
"[0.1301, 0.1076, 0.1713, 0.1857, 0.1801, 0.2874, 0.4852, 0.5701, 0.5973, 0.5755, 0.5729, 0.5801, 0.6289, 0.4063, 0.6271]",0.5541,ThreeLevels-0-Dropout,0.001,9.74,1.0,172,43
"[0.1616, 0.1025, 0.3574, 0.4308, 0.2692, 0.4335, 0.6276, 0.6299, 0.6958, 0.6856, 0.6576, 0.6704, 0.6986, 0.451, 0.6719]",0.6072,BoundedPareto-0-Ours,0.001,9.74,1.0,229,43
"[0.0992, 0.1247, 0.1136, 0.1204, 0.135, 0.2061, 0.3453, 0.3011, 0.4396, 0.3225, 0.3543, 0.4027, 0.4583, 0.3679, 0.4936]",0.4399,BoundedPareto-0-StrongForAll,0.001,9.74,1.0,143,43
"[0.0992, 0.1192, 0.1341, 0.1345, 0.1518, 0.2454, 0.4173, 0.4307, 0.4989, 0.4849, 0.4549, 0.5068, 0.5599, 0.4045, 0.5553]",0.5066,BoundedPareto-0-Dropout,0.001,9.74,1.0,124,43
"[0.1018, 0.1313, 0.4856, 0.5432, 0.3704, 0.5149, 0.6791, 0.6579, 0.7414, 0.7333, 0.7243, 0.7518, 0.7507, 0.4831, 0.6968]",0.6435,BoundedMixGauss-0-Ours,0.001,9.74,1.0,442,43
"[0.0992, 0.1247, 0.1136, 0.1204, 0.135, 0.2061, 0.3453, 0.3011, 0.4396, 0.3225, 0.3543, 0.4027, 0.4583, 0.3679, 0.4936]",0.4399,BoundedMixGauss-0-StrongForAll,0.001,9.74,1.0,143,43
"[0.193, 0.1079, 0.1666, 0.1981, 0.1808, 0.3024, 0.4935, 0.5696, 0.6011, 0.565, 0.5753, 0.5769, 0.6267, 0.4082, 0.6334]",0.5561,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,176,43
"[0.2338, 0.3142, 0.6269, 0.7638, 0.5297, 0.7418, 0.7379, 0.6181, 0.7736, 0.8427, 0.8987, 0.8327, 0.8756, 0.8855, 0.8849]",0.882,PrivacyFree,,,,128,44
"[0.1153, 0.2646, 0.3421, 0.5698, 0.4544, 0.7462, 0.6956, 0.4733, 0.6845, 0.7309, 0.7973, 0.7296, 0.7882, 0.8199, 0.82]",0.8094,ThreeLevels-0-Ours,0.001,9.74,1.0,421,44
