perf,Performance,e,d,nm,norm,bs,seed
"[0.6159, 0.8754, 0.9067, 0.9145, 0.9258, 0.9247, 0.9333, 0.9362, 0.9322, 0.9392, 0.94, 0.9373, 0.9395, 0.944, 0.9428]",0.9421,PrivacyFree,,,,128,42
"[0.1335, 0.1659, 0.1822, 0.1913, 0.2561, 0.2823, 0.4364, 0.4331, 0.5262, 0.496, 0.4734, 0.4632, 0.5155, 0.5408, 0.5132]",0.5232,ThreeLevels-0-Ours,0.001,13.75,1.0,692,42
"[0.1484, 0.2005, 0.2221, 0.233, 0.3526, 0.4832, 0.5139, 0.5414, 0.5991, 0.6113, 0.631, 0.5835, 0.6439, 0.6648, 0.6586]",0.6558,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1621, 0.3127, 0.4665, 0.4987, 0.6024, 0.6781, 0.7257, 0.7514, 0.7837, 0.779, 0.7991, 0.7839, 0.8068, 0.8086, 0.8205]",0.812,ThreeLevels-0-Dropout,0.001,13.75,1.0,168,42
"[0.1534, 0.419, 0.4753, 0.5521, 0.6983, 0.7618, 0.7821, 0.7955, 0.8233, 0.8162, 0.836, 0.8102, 0.8439, 0.8393, 0.848]",0.8437,BoundedPareto-0-Ours,0.001,13.75,1.0,47,42
"[0.1484, 0.2005, 0.2221, 0.233, 0.3526, 0.4832, 0.5139, 0.5414, 0.5991, 0.6113, 0.631, 0.5835, 0.6439, 0.6648, 0.6586]",0.6558,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1625, 0.2272, 0.2721, 0.3117, 0.4441, 0.5213, 0.5868, 0.6268, 0.6836, 0.6893, 0.7001, 0.6676, 0.7163, 0.7323, 0.7279]",0.7255,BoundedPareto-0-Dropout,0.001,13.75,1.0,111,42
"[0.156, 0.3765, 0.4361, 0.4886, 0.6259, 0.6986, 0.7416, 0.7631, 0.7959, 0.8013, 0.8121, 0.7874, 0.8198, 0.8191, 0.819]",0.8193,BoundedMixGauss-0-Ours,0.001,13.75,1.0,407,42
"[0.1484, 0.2005, 0.2221, 0.233, 0.3526, 0.4832, 0.5139, 0.5414, 0.5991, 0.6113, 0.631, 0.5835, 0.6439, 0.6648, 0.6586]",0.6558,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1656, 0.3126, 0.4071, 0.4969, 0.6012, 0.6728, 0.72, 0.7473, 0.7922, 0.7862, 0.8008, 0.7864, 0.8099, 0.8117, 0.8149]",0.8122,BoundedMixGauss-0-Dropout,0.001,13.75,1.0,162,42
"[0.4547, 0.8698, 0.9076, 0.9251, 0.9277, 0.9303, 0.9385, 0.9291, 0.9403, 0.9412, 0.9417, 0.9354, 0.943, 0.9375, 0.9443]",0.9416,PrivacyFree,,,,128,43
"[0.0805, 0.1407, 0.2614, 0.2166, 0.3579, 0.3469, 0.3686, 0.3991, 0.4003, 0.4198, 0.4667, 0.4751, 0.5531, 0.5329, 0.5985]",0.5615,ThreeLevels-0-Ours,0.001,13.75,1.0,692,43
"[0.0876, 0.1967, 0.3062, 0.302, 0.4541, 0.485, 0.5158, 0.5429, 0.5541, 0.6062, 0.6315, 0.6136, 0.6877, 0.6682, 0.7241]",0.6933,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.1167, 0.3986, 0.5083, 0.5435, 0.5894, 0.6483, 0.733, 0.7575, 0.7542, 0.784, 0.79, 0.7853, 0.8134, 0.7913, 0.8168]",0.8072,ThreeLevels-0-Dropout,0.001,13.75,1.0,168,43
"[0.1431, 0.4447, 0.5464, 0.5617, 0.666, 0.6849, 0.7729, 0.7888, 0.8028, 0.8173, 0.8245, 0.8028, 0.8368, 0.8191, 0.8386]",0.8315,BoundedPareto-0-Ours,0.001,13.75,1.0,42,43
"[0.0876, 0.1967, 0.3062, 0.302, 0.4541, 0.485, 0.5158, 0.5429, 0.5541, 0.6062, 0.6315, 0.6136, 0.6877, 0.6682, 0.7241]",0.6933,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.0899, 0.2593, 0.3506, 0.3664, 0.4962, 0.5278, 0.5802, 0.6264, 0.6421, 0.6935, 0.7225, 0.7005, 0.7541, 0.7355, 0.7786]",0.7561,BoundedPareto-0-Dropout,0.001,13.75,1.0,112,43
"[0.1427, 0.3483, 0.5449, 0.5258, 0.6246, 0.6452, 0.7436, 0.7499, 0.7582, 0.7908, 0.8014, 0.7814, 0.8168, 0.7916, 0.8185]",0.809,BoundedMixGauss-0-Ours,0.001,13.75,1.0,421,43
"[0.0876, 0.1967, 0.3062, 0.302, 0.4541, 0.485, 0.5158, 0.5429, 0.5541, 0.6062, 0.6315, 0.6136, 0.6877, 0.6682, 0.7241]",0.6933,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.1335, 0.3943, 0.5017, 0.5064, 0.5892, 0.6398, 0.7356, 0.7559, 0.7546, 0.7803, 0.7918, 0.7845, 0.8163, 0.7926, 0.8214]",0.8101,BoundedMixGauss-0-Dropout,0.001,13.75,1.0,169,43
"[0.5832, 0.8808, 0.913, 0.9273, 0.9205, 0.9323, 0.9326, 0.9331, 0.9331, 0.9314, 0.9395, 0.9399, 0.9387, 0.939, 0.9459]",0.9412,PrivacyFree,,,,128,44
"[0.1133, 0.1172, 0.1567, 0.2933, 0.2799, 0.3959, 0.4412, 0.4323, 0.4441, 0.453, 0.4925, 0.4922, 0.5361, 0.5246, 0.5702]",0.5436,ThreeLevels-0-Ours,0.001,13.75,1.0,692,44
"[0.1227, 0.1763, 0.2394, 0.361, 0.4199, 0.4901, 0.5583, 0.578, 0.5747, 0.558, 0.6195, 0.62, 0.6516, 0.6465, 0.6787]",0.6589,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,44
"[0.1697, 0.308, 0.4813, 0.5883, 0.6465, 0.7178, 0.7793, 0.7645, 0.7571, 0.7472, 0.7832, 0.7771, 0.7861, 0.7688, 0.796]",0.7836,ThreeLevels-0-Dropout,0.001,13.75,1.0,168,44
"[0.2285, 0.3748, 0.565, 0.6851, 0.7314, 0.785, 0.8246, 0.809, 0.8003, 0.7862, 0.8203, 0.8209, 0.8255, 0.8197, 0.8343]",0.8265,BoundedPareto-0-Ours,0.001,13.75,1.0,53,44
"[0.1227, 0.1763, 0.2394, 0.361, 0.4199, 0.4901, 0.5583, 0.578, 0.5747, 0.558, 0.6195, 0.62, 0.6516, 0.6465, 0.6787]",0.6589,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,44
